,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kyra,49.5776,111.9753,-17.1,95,30,4.74,RU,1644597611
1,Ponta Delgada,37.7333,-25.6667,61.52,67,20,5.75,PT,1644597611
2,Coahuayana Viejo,18.7333,-103.6833,80.08,21,0,2.42,MX,1644597611
3,Saint Paul Harbor,57.79,-152.4072,36.91,93,100,5.75,US,1644597573
4,Pevek,69.7008,170.3133,-24.14,98,100,6.44,RU,1644597612
5,Butaritari,3.0707,172.7902,80.78,81,68,16.69,KI,1644597606
6,Hermanus,-34.4187,19.2345,74.89,80,8,6.2,ZA,1644597612
7,Busselton,-33.65,115.3333,62.1,89,23,4.5,AU,1644597613
8,Payakumbuh,-0.2202,100.6308,70.02,97,100,2.01,ID,1644597613
9,Bluff,-46.6,168.3333,50.81,78,49,13.15,NZ,1644597199
10,Iqaluit,63.7506,-68.5145,-0.31,77,40,0.0,CA,1644597614
11,Katsuura,35.1333,140.3,40.19,69,13,13.44,JP,1644597593
12,Mataura,-46.1927,168.8643,51.48,81,100,3.53,NZ,1644597615
13,Airai,-8.9266,125.4092,60.66,94,100,1.23,TL,1644597527
14,Makakilo City,21.3469,-158.0858,63.61,83,0,5.75,US,1644597615
15,Atuona,-9.8,-139.0333,77.22,78,20,14.47,PF,1644597616
16,Ribeira Grande,38.5167,-28.7,63.0,63,40,10.36,PT,1644597616
17,Arraial do Cabo,-22.9661,-42.0278,76.96,88,75,9.22,BR,1644597616
18,Port Alfred,-33.5906,26.891,71.82,77,2,5.44,ZA,1644597617
19,Chengde,40.9725,117.9361,26.35,41,97,3.09,CN,1644597617
20,Kapaa,22.0752,-159.319,67.98,94,0,10.36,US,1644597618
21,Ancud,-41.8697,-73.8203,64.22,53,0,5.86,CL,1644597618
22,Norman Wells,65.282,-126.8329,-16.56,69,40,5.75,CA,1644597406
23,Vao,-22.6667,167.4833,80.58,84,100,20.13,NC,1644597619
24,Vostok,46.4856,135.8833,15.87,97,100,3.22,RU,1644597619
25,Mahébourg,-20.4081,57.7,79.09,83,40,2.3,MU,1644597201
26,New Norfolk,-42.7826,147.0587,51.3,61,0,2.24,AU,1644597620
27,Jérémie,18.65,-74.1167,80.64,68,8,2.24,HT,1644597620
28,Provideniya,64.3833,-173.3,-17.64,94,14,9.1,RU,1644597621
29,Hilo,19.7297,-155.09,67.12,82,0,5.75,US,1644597621
30,Albany,42.6001,-73.9662,48.09,55,46,1.99,US,1644597447
31,Khatanga,71.9667,102.5,5.92,84,99,16.17,RU,1644597622
32,Ushuaia,-54.8,-68.3,55.06,62,40,20.71,AR,1644597201
33,Tsimmerbude,54.675,20.1347,37.45,82,45,11.88,RU,1644597622
34,Henties Bay,-22.116,14.2845,73.85,82,98,5.17,NA,1644597622
35,Kirakira,-10.4544,161.9205,78.4,89,99,12.5,SB,1644597623
36,Lüderitz,-26.6481,15.1594,76.84,55,100,12.24,NA,1644597623
37,Laguna,38.421,-121.4238,66.09,90,0,0.0,US,1644597456
38,Mar del Plata,-38.0023,-57.5575,67.08,73,100,17.0,AR,1644597329
39,Barcelona,41.3888,2.159,61.84,70,0,6.91,ES,1644597624
40,Huarmey,-10.0681,-78.1522,76.14,71,84,11.12,PE,1644597624
41,Banjar,-8.19,114.9675,76.91,95,100,4.05,ID,1644597371
42,Chul'man,56.8479,124.9104,-30.01,100,100,2.3,RU,1644597625
43,Bethel,41.3712,-73.414,52.03,46,0,9.22,US,1644597625
44,Tilichiki,60.4667,166.1,-16.87,84,2,9.13,RU,1644597626
45,Conceição do Araguaia,-8.2578,-49.2647,81.77,77,89,4.16,BR,1644597626
46,Sittwe,20.15,92.9,70.72,62,2,14.79,MM,1644597627
47,Barrow,71.2906,-156.7887,-27.38,75,0,8.05,US,1644597199
48,Rikitea,-23.1203,-134.9692,79.16,72,2,17.87,PF,1644597627
49,Awjilah,29.1081,21.2869,57.42,45,0,7.45,LY,1644597628
50,Takaka,-40.85,172.8,68.97,97,99,2.37,NZ,1644597628
